symbol,company,insider_name,category,quantity,value,type,trade_date,mode,exchange
ECLERX,eClerx Services Limited,Eclerx Employee Welfare Trust,Other,2096.0,3473669,Buy,29-May-2023,Market Purchase,NSE
PSPPROJECT,PSP Projects Limited,PRAHALADBHAI SHIVRAMBHAI PATEL,Promoters,25000.0,18664447,Buy,26-May-2023,Market Purchase,NSE
MUKANDLTD,Mukand Limited,BARODA INDUSTRIES PRIVATE LIMITED,-,25000.0,3148872,Buy,26-May-2023,Market Purchase,NSE
MUKANDLTD,Mukand Limited,BARODA INDUSTRIES PRIVATE LIMITED,-,25148.0,3160001,Buy,29-May-2023,Market Purchase,NSE
NRAIL,N R Agarwal Industries Limited,REERA HOLDINGS PRIVATE LIMITED,Promoter Group,30900.0,8830020,Buy,30-May-2023,Market Purchase,-
CENTRUM,Centrum Capital Limited,JASPAL SINGH BINDRA,Director,100000.0,1803918,Buy,29-May-2023,Market Purchase,NSE
SDBL,Som Distilleries & Breweries Limited,DEEPAK ARORA,Promoters,10000.0,2247974,Buy,29-May-2023,Market Purchase,NSE
PDSL,PDS Limited,PDS Multinational Fashions ESOP Trust,Other,20000.0,6592986,Buy,26-May-2023,Market Purchase,NSE
PDSL,PDS Limited,PDS Multinational Fashions ESOP Trust,Other,10000.0,3220538,Buy,25-May-2023,Market Purchase,NSE
KRISHANA,Krishana Phoschem Limited,OSTWAL PHOSCHEM ( INDIA) LIMITED,Promoters,28035.0,12999062,Buy,24-May-2023,Market Purchase,NSE
KRISHANA,Krishana Phoschem Limited,Nirmala Realinfrastructure Pvt Ltd,Promoter Group,46075.0,21652928,Buy,25-May-2023,Market Purchase,NSE
BAJAJFINSV,Bajaj Finserv Limited,NIRAV TRUST NIRAJ BAJAJ,Promoter Group,21000.0,29983942,Buy,24-May-2023,Market Purchase,BSE
ASIANENE,Asian Energy Services Limited,Oilmax Energy Private Limited,Promoters,32760.0,3082061,Buy,29-May-2023,Market Purchase,NSE
ANUP,The Anup Engineering Limited,REENA P. BHAGWATI,Director,255.0,357000,Buy,29-May-2023,Market Purchase,NSE
ANUP,The Anup Engineering Limited,AANAL P. BHAGWATI,Immediate relative,179.0,251276,Buy,26-May-2023,Market Purchase,BSE
ANUP,The Anup Engineering Limited,AANAL P. BHAGWATI,Immediate relative,21.0,29470,Buy,26-May-2023,Market Purchase,NSE
